ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,CommunityID
GO:0002684,positive regulation of immune system process,39/64,247/3978,4.57923543733352e-32,6.94212092299761e-29,4.47318998510053e-29,C1QC/C1QA/PTPRC/FYB1/CSF1R/C1QB/LAPTM5/PIK3AP1/HAVCR2/DOCK8/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/HCLS1/FCGR3A/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/TLR7,39,1
GO:0002682,regulation of immune system process,42/64,344/3978,2.9466621321451e-30,2.15680515392084e-27,1.38974807862696e-27,C1QC/C1QA/PTPRC/FYB1/CSF1R/C1QB/LAPTM5/PIK3AP1/HAVCR2/DOCK8/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/HCLS1/FCGR2A/FCGR3A/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/SCIN/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/WAS/TLR7,42,1
GO:0006955,immune response,42/64,347/3978,4.26808407767977e-30,2.15680515392084e-27,1.38974807862696e-27,C1QC/C1QA/DOCK2/PTPRC/FYB1/CSF1R/C1QB/LCP1/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/APBB1IP/LAIR1/NCKAP1L/FCGR2A/FCGR3A/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/ITGB2/ALOX5/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS/TLR7,42,1
GO:0050776,regulation of immune response,35/64,215/3978,1.02212156504389e-28,3.87384073151634e-26,2.49612845358087e-26,C1QC/C1QA/PTPRC/FYB1/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/FCGR2A/FCGR3A/RBM47/CD300A/C3AR1/SYK/HCK/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS/TLR7,35,1
GO:0050778,positive regulation of immune response,31/64,179/3978,6.59154908855493e-26,1.99855768364986e-23,1.28778053772189e-23,C1QC/C1QA/PTPRC/FYB1/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/RBM47/CD300A/C3AR1/SYK/HCK/C3/TLR1/ITGB2/SPI1/FCER1G/CYBA/VSIG4/SASH3/TYROBP/BTK/ITGAM/TLR7,31,1
GO:0002252,immune effector process,27/64,144/3978,2.84054358315997e-23,7.1771067867842e-21,4.62460428977624e-21,C1QC/C1QA/DOCK2/PTPRC/C1QB/LCP1/LAPTM5/HAVCR2/LAT2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/HCK/C3/ITGB2/SPI1/FCER1G/VSIG4/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS/TLR7,27,1
GO:0002253,activation of immune response,26/64,135/3978,1.11659213512415e-22,2.4182195383546e-20,1.55819173142138e-20,C1QC/C1QA/PTPRC/FYB1/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/CD300A/C3AR1/SYK/HCK/C3/TLR1/FCER1G/CYBA/VSIG4/TYROBP/BTK/TLR7,26,1
GO:0006952,defense response,35/64,353/3978,4.01297083750271e-21,7.60457973706763e-19,4.90004860158225e-19,C1QC/C1QA/PTPRC/CSF1R/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/FPR1/CD14/TLR2/SERPINA1/FCGR3A/ALOX5AP/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/ITGB2/ALOX5/SPI1/FCER1G/CYBA/ABI3/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,35,1
GO:0045321,leukocyte activation,29/64,212/3978,4.89631912760322e-21,8.24757755271831e-19,5.31436742738688e-19,C1QA/DOCK2/PTPRC/LCP1/LAPTM5/HAVCR2/IKZF1/DOCK8/LAT2/TLR2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/TLR1/ITGB2/SPI1/FCER1G/WDFY4/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/WAS,29,1
GO:0001775,cell activation,29/64,248/3978,4.52741745599096e-19,6.8635648632823e-17,4.42257199911538e-17,C1QA/DOCK2/PTPRC/LCP1/LAPTM5/HAVCR2/IKZF1/DOCK8/LAT2/TLR2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/TLR1/ITGB2/SPI1/FCER1G/WDFY4/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM/WAS,29,1
GO:0002274,myeloid leukocyte activation,18/64,64/3978,8.31764634964625e-19,1.14632289691488e-16,7.38638833729351e-17,C1QA/DOCK2/PTPRC/HAVCR2/LAT2/TLR2/FCGR3A/CD300A/SYK/TLR1/ITGB2/SPI1/FCER1G/VSIG4/TYROBP/RAC2/BTK/ITGAM,18,1
GO:0002443,leukocyte mediated immunity,20/64,89/3978,9.62114756826531e-19,1.21547164279085e-16,7.83195170469316e-17,C1QC/C1QA/PTPRC/C1QB/HAVCR2/LAT2/NCKAP1L/FCGR3A/CD300A/SYK/C3/ITGB2/SPI1/FCER1G/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS,20,1
GO:0002764,immune response-regulating signaling pathway,22/64,121/3978,1.70633381828436e-18,1.98984774501469e-16,1.28216824564202e-16,PTPRC/FYB1/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/FCGR3A/CD300A/C3AR1/SYK/HCK/TLR1/FCER1G/CYBA/TYROBP/BTK/TLR7,22,1
GO:0006954,inflammatory response,24/64,164/3978,6.63841238558888e-18,7.18845226896625e-16,4.63191480738833e-16,C1QA/PTPRC/CSF1R/PIK3AP1/HAVCR2/FPR1/CD14/TLR2/SERPINA1/FCGR3A/ALOX5AP/CCR1/C3AR1/SYK/HCK/C3/TLR1/ITGB2/ALOX5/CYBA/TYROBP/BTK/ITGAM/TLR7,24,1
GO:0002768,immune response-regulating cell surface receptor signaling pathway,19/64,85/3978,9.24978114440104e-18,9.34844547660798e-16,6.02371712421345e-16,PTPRC/FYB1/LAPTM5/PIK3AP1/LAT2/FPR1/CD14/TLR2/NCKAP1L/FCGR3A/CD300A/C3AR1/SYK/HCK/TLR1/FCER1G/CYBA/TYROBP/BTK,19,1
GO:0002757,immune response-activating signaling pathway,21/64,115/3978,1.10562307360958e-17,1.04757786224508e-15,6.75011981782693e-16,PTPRC/FYB1/LAPTM5/PIK3AP1/HAVCR2/CTSS/LAT2/FPR1/CD14/TLR2/NCKAP1L/CD300A/C3AR1/SYK/HCK/TLR1/FCER1G/CYBA/TYROBP/BTK/TLR7,21,1
GO:0002429,immune response-activating cell surface receptor signaling pathway,18/64,78/3978,4.19722253287583e-17,3.7429349175528e-15,2.41177864427787e-15,PTPRC/FYB1/LAPTM5/PIK3AP1/LAT2/FPR1/CD14/TLR2/NCKAP1L/CD300A/C3AR1/SYK/HCK/TLR1/FCER1G/CYBA/TYROBP/BTK,18,1
GO:0046649,lymphocyte activation,24/64,180/3978,6.21973042220089e-17,5.23839517780919e-15,3.37538586655112e-15,DOCK2/PTPRC/LCP1/LAPTM5/HAVCR2/IKZF1/DOCK8/LAT2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/SPI1/FCER1G/WDFY4/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/WAS,24,1
GO:0002366,leukocyte activation involved in immune response,17/64,68/3978,8.18773480577623e-17,6.53295050818777e-15,4.20953900263731e-15,DOCK2/PTPRC/LCP1/HAVCR2/LAT2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/ITGB2/SPI1/FCER1G/TYROBP/RAC2/BTK/ITGAM,17,1
GO:0032103,positive regulation of response to external stimulus,22/64,144/3978,8.69263735224886e-17,6.58901911300463e-15,4.24566708572997e-15,CSF1R/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/NCKAP1L/ALOX5AP/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/SPI1/CYBA/TYROBP/RAC2/BTK/TLR7,22,1
GO:0045087,innate immune response,25/64,207/3978,1.31318426153248e-16,9.47993971658685e-15,6.10844608873253e-15,C1QC/C1QA/CSF1R/C1QB/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/FCGR3A/RBM47/CD300A/SYK/HCK/C3/TLR1/SPI1/FCER1G/CYBA/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,25,1
GO:0002263,cell activation involved in immune response,17/64,70/3978,1.40261713601847e-16,9.66530717365454e-15,6.22788852739301e-15,DOCK2/PTPRC/LCP1/HAVCR2/LAT2/APBB1IP/NCKAP1L/FCGR3A/CD300A/SYK/ITGB2/SPI1/FCER1G/TYROBP/RAC2/BTK/ITGAM,17,1
GO:0009607,response to biotic stimulus,29/64,314/3978,3.35838705195239e-16,2.21361511772166e-14,1.42635386005118e-14,C1QC/C1QA/PTPRC/CSF1R/C1QB/LAPTM5/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/FCGR3A/RBM47/CD300A/SYK/HCK/C3/TLR1/SPI1/FCER1G/CYBA/WDFY4/ABI3/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,29,1
GO:0001819,positive regulation of cytokine production,19/64,103/3978,4.37867438180165e-16,2.76586265117138e-14,1.78219729224207e-14,PTPRC/CSF1R/LAPTM5/HAVCR2/CD14/TLR2/FCGR3A/RBM47/C3AR1/SYK/C3/TLR1/FCER1G/CYBA/SASH3/TYROBP/RUNX1/BTK/TLR7,19,1
GO:0098542,defense response to other organism,26/64,248/3978,9.3110690645589e-16,5.64623228074852e-14,3.63817772290975e-14,C1QC/C1QA/PTPRC/CSF1R/C1QB/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/FCGR3A/RBM47/CD300A/SYK/HCK/C3/TLR1/SPI1/FCER1G/CYBA/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,26,1
GO:0002275,myeloid cell activation involved in immune response,12/64,28/3978,2.54960493504373e-15,1.48661580058704e-13,9.57908250899022e-14,DOCK2/HAVCR2/LAT2/CD300A/SYK/ITGB2/SPI1/FCER1G/TYROBP/RAC2/BTK/ITGAM,12,1
GO:0002697,regulation of immune effector process,17/64,83/3978,3.12815847728049e-15,1.75640305613231e-13,1.13174700464573e-13,PTPRC/LAPTM5/HAVCR2/NCKAP1L/CD300A/SYK/C3/ITGB2/SPI1/VSIG4/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS/TLR7,17,1
GO:0032101,regulation of response to external stimulus,25/64,241/3978,5.22340754312685e-15,2.82810208406439e-13,1.82230157895553e-13,PTPRC/CSF1R/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/NCKAP1L/ALOX5AP/RBM47/CD300A/CCR1/C3AR1/SYK/HCK/C3/TLR1/ALOX5/SPI1/CYBA/VSIG4/TYROBP/RAC2/BTK/TLR7,25,1
GO:0001817,regulation of cytokine production,22/64,174/3978,5.5260987957782e-15,2.88881578427578e-13,1.86142275226213e-13,PTPRC/CSF1R/LAPTM5/HAVCR2/CD14/TLR2/NCKAP1L/FCGR3A/RBM47/C3AR1/SYK/C3/TLR1/ALOX5/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RUNX1/BTK/TLR7,22,1
GO:0001816,cytokine production,22/64,177/3978,7.99158509601388e-15,4.03841433518568e-13,2.60217226985996e-13,PTPRC/CSF1R/LAPTM5/HAVCR2/CD14/TLR2/NCKAP1L/FCGR3A/RBM47/C3AR1/SYK/C3/TLR1/ALOX5/FCER1G/CYBA/VSIG4/SASH3/TYROBP/RUNX1/BTK/TLR7,22,1
GO:0043299,leukocyte degranulation,11/64,23/3978,8.89039418324752e-15,4.34768954251718e-13,2.80145528083317e-13,LAT2/NCKAP1L/FCGR3A/CD300A/SYK/HCK/ITGB2/SPI1/RAC2/BTK/ITGAM,11,1
GO:0043207,response to external biotic stimulus,27/64,306/3978,1.73843898972285e-14,7.98628335884802e-13,5.14600121997706e-13,C1QC/C1QA/PTPRC/CSF1R/C1QB/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/FCGR3A/RBM47/CD300A/SYK/HCK/C3/TLR1/SPI1/FCER1G/CYBA/WDFY4/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,27,1
GO:0051707,response to other organism,27/64,306/3978,1.73843898972285e-14,7.98628335884802e-13,5.14600121997706e-13,C1QC/C1QA/PTPRC/CSF1R/C1QB/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/FCGR3A/RBM47/CD300A/SYK/HCK/C3/TLR1/SPI1/FCER1G/CYBA/WDFY4/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,27,1
GO:0042110,T cell activation,19/64,125/3978,1.88622371397728e-14,8.41033867761632e-13,5.41924336399663e-13,DOCK2/PTPRC/LCP1/LAPTM5/HAVCR2/DOCK8/APBB1IP/NCKAP1L/CD300A/SYK/SPI1/FCER1G/WDFY4/VSIG4/SASH3/RAC2/RUNX1/RASAL3/WAS,19,1
GO:0051240,positive regulation of multicellular organismal process,30/64,399/3978,2.55687989870089e-14,1.0940228026278e-12,7.04939009053322e-13,PTPRC/CSF1R/LAPTM5/HAVCR2/DOCK8/CD14/TLR2/NCKAP1L/HCLS1/TBXAS1/FCGR3A/RBM47/CCR1/C3AR1/SYK/C3/TLR1/ITGB2/ALOX5/SPI1/FCER1G/CYBA/SASH3/TYROBP/RUNX1/BTK/RASAL3/ITGAM/TMEM119/TLR7,30,1
GO:0002703,regulation of leukocyte mediated immunity,14/64,53/3978,2.59794333077841e-14,1.0940228026278e-12,7.04939009053322e-13,PTPRC/HAVCR2/NCKAP1L/CD300A/SYK/C3/ITGB2/SPI1/SASH3/TYROBP/RAC2/BTK/ITGAM/WAS,14,1
GO:0070661,leukocyte proliferation,15/64,68/3978,5.16583016115846e-14,2.11659419576114e-12,1.36383794866431e-12,DOCK2/PTPRC/CSF1R/HAVCR2/DOCK8/NCKAP1L/FCGR3A/CD300A/SYK/VSIG4/SASH3/TYROBP/RAC2/BTK/RASAL3,15,1
GO:0006909,phagocytosis,16/64,84/3978,7.80476443783134e-14,3.11369023361903e-12,2.00632171698268e-12,DOCK2/PTPRC/CD14/TLR2/NCKAP1L/CD300A/SYK/HCK/C3/ITGB2/FCER1G/CYBA/TYROBP/BTK/ITGAM/BIN2,16,1
GO:0044419,biological process involved in interspecies interaction between organisms,28/64,359/3978,1.12321729115411e-13,4.36614721381957e-12,2.81334857271529e-12,C1QC/C1QA/PTPRC/CSF1R/C1QB/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/FCGR3A/RBM47/CD300A/SYK/HCK/C3/TLR1/SPI1/FCER1G/CYBA/WDFY4/SLC1A5/VSIG4/TYROBP/BTK/ITGAM/WAS/TLR7,28,1
GO:0050865,regulation of cell activation,19/64,138/3978,1.23332174753909e-13,4.67428942317317e-12,3.01190153083231e-12,PTPRC/LAPTM5/HAVCR2/DOCK8/NCKAP1L/FCGR3A/CD300A/SYK/ITGB2/SPI1/FCER1G/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM,19,1
GO:0002250,adaptive immune response,16/64,88/3978,1.68866216269075e-13,6.24393131375408e-12,4.02330805385626e-12,C1QC/C1QA/PTPRC/C1QB/HAVCR2/CTSS/LAT2/LAIR1/NCKAP1L/FCGR3A/SYK/C3/FCER1G/SASH3/BTK/WAS,16,1
GO:0046651,lymphocyte proliferation,14/64,62/3978,2.82243939988044e-13,1.01876622148065e-11,6.56447058418307e-12,DOCK2/PTPRC/HAVCR2/DOCK8/NCKAP1L/FCGR3A/CD300A/SYK/VSIG4/SASH3/TYROBP/RAC2/BTK/RASAL3,14,1
GO:0032760,positive regulation of tumor necrosis factor production,11/64,30/3978,3.29447394764117e-13,1.13509602377819e-11,7.31404742442824e-12,PTPRC/HAVCR2/CD14/TLR2/FCGR3A/SYK/TLR1/CYBA/SASH3/TYROBP/BTK,11,1
GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,11/64,30/3978,3.29447394764117e-13,1.13509602377819e-11,7.31404742442824e-12,PTPRC/HAVCR2/CD14/TLR2/FCGR3A/SYK/TLR1/CYBA/SASH3/TYROBP/BTK,11,1
GO:0032943,mononuclear cell proliferation,14/64,63/3978,3.58575556304958e-13,1.20800120746292e-11,7.78381558481873e-12,DOCK2/PTPRC/HAVCR2/DOCK8/NCKAP1L/FCGR3A/CD300A/SYK/VSIG4/SASH3/TYROBP/RAC2/BTK/RASAL3,14,1
GO:0031347,regulation of defense response,20/64,169/3978,4.67399823923472e-13,1.54038724579996e-11,9.92556147828334e-12,PTPRC/PIK3AP1/HAVCR2/CTSS/CD14/TLR2/ALOX5AP/RBM47/CD300A/SYK/HCK/C3/TLR1/ALOX5/SPI1/CYBA/VSIG4/TYROBP/BTK/TLR7,20,1
GO:0042116,macrophage activation,11/64,31/3978,5.04372514131925e-13,1.62686964132765e-11,1.04828150753511e-11,C1QA/PTPRC/HAVCR2/TLR2/FCGR3A/SYK/TLR1/ITGB2/VSIG4/TYROBP/ITGAM,11,1
GO:0002694,regulation of leukocyte activation,18/64,131/3978,6.44475884634658e-13,2.03546966897113e-11,1.31156495820386e-11,PTPRC/LAPTM5/HAVCR2/DOCK8/NCKAP1L/FCGR3A/CD300A/SYK/ITGB2/SPI1/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3/ITGAM,18,1
GO:0070663,regulation of leukocyte proliferation,13/64,53/3978,6.93765835634953e-13,2.1464265445359e-11,1.38306057028837e-11,PTPRC/CSF1R/HAVCR2/NCKAP1L/FCGR3A/CD300A/SYK/VSIG4/SASH3/TYROBP/RAC2/BTK/RASAL3,13,1
GO:0002444,myeloid leukocyte mediated immunity,11/64,32/3978,7.59127914367968e-13,2.30167583636368e-11,1.48309622007047e-11,LAT2/FCGR3A/CD300A/SYK/C3/ITGB2/SPI1/TYROBP/RAC2/BTK/ITGAM,11,1
GO:0031349,positive regulation of defense response,17/64,114/3978,8.00014355173403e-13,2.3780818871429e-11,1.5323288371536e-11,PIK3AP1/HAVCR2/CTSS/CD14/TLR2/ALOX5AP/RBM47/CD300A/SYK/HCK/C3/TLR1/SPI1/CYBA/TYROBP/BTK/TLR7,17,1
GO:0002699,positive regulation of immune effector process,13/64,60/3978,3.91418110675295e-12,1.14113433804567e-10,7.35295560134968e-11,PTPRC/LAPTM5/CD300A/SYK/C3/ITGB2/SPI1/SASH3/TYROBP/RAC2/BTK/ITGAM/TLR7,13,1
GO:0032640,tumor necrosis factor production,11/64,37/3978,4.72887450692913e-12,1.28017388437581e-10,8.24886380156058e-11,PTPRC/HAVCR2/CD14/TLR2/FCGR3A/SYK/TLR1/CYBA/SASH3/TYROBP/BTK,11,1
GO:0032680,regulation of tumor necrosis factor production,11/64,37/3978,4.72887450692913e-12,1.28017388437581e-10,8.24886380156058e-11,PTPRC/HAVCR2/CD14/TLR2/FCGR3A/SYK/TLR1/CYBA/SASH3/TYROBP/BTK,11,1
GO:0071706,tumor necrosis factor superfamily cytokine production,11/64,37/3978,4.72887450692913e-12,1.28017388437581e-10,8.24886380156058e-11,PTPRC/HAVCR2/CD14/TLR2/FCGR3A/SYK/TLR1/CYBA/SASH3/TYROBP/BTK,11,1
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,11/64,37/3978,4.72887450692913e-12,1.28017388437581e-10,8.24886380156058e-11,PTPRC/HAVCR2/CD14/TLR2/FCGR3A/SYK/TLR1/CYBA/SASH3/TYROBP/BTK,11,1
GO:0045089,positive regulation of innate immune response,15/64,92/3978,5.74676525513761e-12,1.52843791698046e-10,9.84856538645928e-11,PIK3AP1/HAVCR2/CTSS/CD14/TLR2/RBM47/CD300A/SYK/HCK/TLR1/SPI1/CYBA/TYROBP/BTK/TLR7,15,1
GO:0050670,regulation of lymphocyte proliferation,12/64,49/3978,5.98138628904526e-12,1.56341062313666e-10,1.0073913749971e-10,PTPRC/HAVCR2/NCKAP1L/FCGR3A/CD300A/SYK/VSIG4/SASH3/TYROBP/RAC2/BTK/RASAL3,12,1
GO:0050764,regulation of phagocytosis,11/64,38/3978,6.57363956557468e-12,1.68909111549343e-10,1.08837422245376e-10,DOCK2/PTPRC/TLR2/NCKAP1L/CD300A/SYK/HCK/C3/FCER1G/CYBA/BTK,11,1
GO:0002833,positive regulation of response to biotic stimulus,15/64,93/3978,6.77132010787716e-12,1.7108868805903e-10,1.10241843159825e-10,PIK3AP1/HAVCR2/CTSS/CD14/TLR2/RBM47/CD300A/SYK/HCK/TLR1/SPI1/CYBA/TYROBP/BTK/TLR7,15,1
GO:0045088,regulation of innate immune response,16/64,111/3978,7.27657458245235e-12,1.80840771590127e-10,1.1652564646274e-10,PIK3AP1/HAVCR2/CTSS/CD14/TLR2/RBM47/CD300A/SYK/HCK/TLR1/SPI1/CYBA/VSIG4/TYROBP/BTK/TLR7,16,1
GO:0032944,regulation of mononuclear cell proliferation,12/64,50/3978,7.7744314633877e-12,1.90097388685415e-10,1.22490193514835e-10,PTPRC/HAVCR2/NCKAP1L/FCGR3A/CD300A/SYK/VSIG4/SASH3/TYROBP/RAC2/BTK/RASAL3,12,1
GO:0051249,regulation of lymphocyte activation,16/64,117/3978,1.67409323811883e-11,4.02845293490182e-10,2.59575359227114e-10,PTPRC/LAPTM5/HAVCR2/DOCK8/NCKAP1L/FCGR3A/CD300A/SYK/SPI1/VSIG4/SASH3/TYROBP/RAC2/RUNX1/BTK/RASAL3,16,1
GO:0002886,regulation of myeloid leukocyte mediated immunity,9/64,22/3978,1.70809123066352e-11,4.04604110263422e-10,2.60708661522327e-10,CD300A/SYK/C3/ITGB2/SPI1/TYROBP/RAC2/BTK/ITGAM,9,1
GO:0002758,innate immune response-activating signaling pathway,13/64,69/3978,2.62538602135556e-11,6.12320801288465e-10,3.94551939727604e-10,PIK3AP1/HAVCR2/CTSS/CD14/TLR2/CD300A/SYK/HCK/TLR1/CYBA/TYROBP/BTK/TLR7,13,1
GO:0002831,regulation of response to biotic stimulus,16/64,123/3978,3.66935673242196e-11,8.42840122174499e-10,5.4308820537282e-10,PIK3AP1/HAVCR2/CTSS/CD14/TLR2/RBM47/CD300A/SYK/HCK/TLR1/SPI1/CYBA/VSIG4/TYROBP/BTK/TLR7,16,1
GO:0002696,positive regulation of leukocyte activation,14/64,94/3978,1.15289942938812e-10,2.57028755140058e-09,1.65617750847086e-09,PTPRC/HAVCR2/DOCK8/NCKAP1L/FCGR3A/SYK/ITGB2/SPI1/SASH3/TYROBP/RUNX1/BTK/RASAL3/ITGAM,14,1
GO:0007159,leukocyte cell-cell adhesion,14/64,94/3978,1.15289942938812e-10,2.57028755140058e-09,1.65617750847086e-09,PTPRC/LAPTM5/HAVCR2/DOCK8/NCKAP1L/CD300A/SYK/ITGB2/ALOX5/VSIG4/SASH3/RAC2/RUNX1/RASAL3,14,1
GO:0070665,positive regulation of leukocyte proliferation,10/64,37/3978,1.39362561472153e-10,3.06193685785194e-09,1.97297417309165e-09,PTPRC/CSF1R/HAVCR2/NCKAP1L/FCGR3A/SYK/SASH3/RAC2/BTK/RASAL3,10,1
GO:0002449,lymphocyte mediated immunity,12/64,63/3978,1.4570525108605e-10,3.15555943780645e-09,2.03330034598277e-09,C1QC/C1QA/PTPRC/C1QB/HAVCR2/NCKAP1L/FCGR3A/C3/FCER1G/SASH3/BTK/WAS,12,1
GO:0042119,neutrophil activation,7/64,12/3978,1.48453957344358e-10,3.16980562442319e-09,2.04247994685788e-09,CD300A/SYK/ITGB2/SPI1/FCER1G/TYROBP/ITGAM,7,1
GO:0050867,positive regulation of cell activation,14/64,96/3978,1.54543162493852e-10,3.25399214362055e-09,2.09672594728501e-09,PTPRC/HAVCR2/DOCK8/NCKAP1L/FCGR3A/SYK/ITGB2/SPI1/SASH3/TYROBP/RUNX1/BTK/RASAL3/ITGAM,14,1
GO:0002218,activation of innate immune response,13/64,79/3978,1.58778231949076e-10,3.29736711828493e-09,2.12467482694654e-09,PIK3AP1/HAVCR2/CTSS/CD14/TLR2/CD300A/SYK/HCK/TLR1/CYBA/TYROBP/BTK/TLR7,13,1
GO:0002695,negative regulation of leukocyte activation,10/64,38/3978,1.86787176438788e-10,3.82661296596219e-09,2.46569700903549e-09,PTPRC/LAPTM5/HAVCR2/NCKAP1L/CD300A/SPI1/VSIG4/TYROBP/RUNX1/BTK,10,1
GO:1903037,regulation of leukocyte cell-cell adhesion,13/64,81/3978,2.20407372639854e-10,4.45516769229357e-09,2.87070935873381e-09,PTPRC/LAPTM5/HAVCR2/DOCK8/NCKAP1L/CD300A/SYK/ITGB2/ALOX5/VSIG4/SASH3/RUNX1/RASAL3,13,1
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,12/64,67/3978,3.11760852248706e-10,6.21880857906629e-09,4.00712009538503e-09,C1QC/C1QA/PTPRC/C1QB/HAVCR2/NCKAP1L/FCGR3A/C3/FCER1G/SASH3/BTK/WAS,12,1
GO:0050866,negative regulation of cell activation,10/64,40/3978,3.26663929552397e-10,6.43146126235629e-09,4.14414390464285e-09,PTPRC/LAPTM5/HAVCR2/NCKAP1L/CD300A/SPI1/VSIG4/TYROBP/RUNX1/BTK,10,1
GO:0042098,T cell proliferation,10/64,41/3978,4.26674565371947e-10,8.29280309107528e-09,5.34350872692533e-09,DOCK2/PTPRC/HAVCR2/DOCK8/NCKAP1L/SYK/VSIG4/SASH3/RAC2/RASAL3,10,1
GO:0036230,granulocyte activation,7/64,14/3978,6.27240721535003e-10,1.2036670048697e-08,7.75588793583588e-09,CD300A/SYK/ITGB2/SPI1/FCER1G/TYROBP/ITGAM,7,1
GO:0050900,leukocyte migration,13/64,88/3978,6.47423610467596e-10,1.2268677418361e-08,7.90538303307802e-09,CSF1R/DOCK8/NCKAP1L/CD300A/CCR1/C3AR1/SYK/HCK/ITGB2/ALOX5/SPI1/FCER1G/RAC2,13,1
GO:0006935,chemotaxis,13/64,92/3978,1.14677098946536e-09,2.10012032525752e-08,1.35322292864809e-08,DOCK2/CSF1R/FPR1/NCKAP1L/CCR1/C3AR1/SYK/ITGB2/ALOX5/SPI1/FCER1G/RAC2/BIN2,13,1
GO:0042330,taxis,13/64,92/3978,1.14677098946536e-09,2.10012032525752e-08,1.35322292864809e-08,DOCK2/CSF1R/FPR1/NCKAP1L/CCR1/C3AR1/SYK/ITGB2/ALOX5/SPI1/FCER1G/RAC2/BIN2,13,1
GO:0002521,leukocyte differentiation,16/64,154/3978,1.14980202504205e-09,2.10012032525752e-08,1.35322292864809e-08,C1QC/DOCK2/PTPRC/CSF1R/IKZF1/TLR2/NCKAP1L/HCLS1/CCR1/SYK/SPI1/FCER1G/SASH3/TYROBP/RUNX1/BTK,16,1
GO:0022407,regulation of cell-cell adhesion,14/64,113/3978,1.44334325215226e-09,2.60489091697955e-08,1.6784743583926e-08,PTPRC/LAPTM5/HAVCR2/DOCK8/NCKAP1L/CD300A/SYK/ITGB2/ALOX5/SPI1/VSIG4/SASH3/RUNX1/RASAL3,14,1
