ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,CommunityID
GO:0019693,ribose phosphate metabolic process,61/820,140/3978,3.38737692086601e-10,2.00477409602274e-08,1.90508115549457e-08,ATP5F1B/OLA1/ATP5PD/VCP/RAN/ATP5F1A/NDUFA5/DLAT/ATP5MC3/NDUFS2/NDUFS3/ATP5MC1/NDUFAB1/OPA1/NDUFB5/PRPS1/ATP5MK/NDUFV1/MPC2/ATP5F1C/ATP5MJ/ATP5PB/HINT1/DLD/SDHB/PPT1/STOML2/ACLY/NDUFA12/NDUFS5/NDUFB6/PDHB/GMPR2/NDUFB10/NDUFA3/NDUFA2/NDUFB3/ATP5IF1/ATP5PF/IMPDH2/NDUFS4/NDUFB4/NDUFA8/NDUFA6/PAPSS1/SUCLG1/NDUFS8/FIS1/ATP5ME/NDUFB11/DNAJC30/NDUFS6/NDUFC1/ATP5F1D/PDHX/NDUFA1/NDUFB7/MTHFD1/NDUFB9/PDHA1/ADSS2,61,4
GO:0055086,nucleobase-containing small molecule metabolic process,73/820,181/3978,4.46871474606857e-10,2.59185455271977e-08,2.46296741162263e-08,ATP5F1B/OLA1/MDH2/ATP5PD/VCP/RAN/ATP5F1A/NDUFA5/DLAT/PGAM1/ATP5MC3/NDUFS2/NDUFS3/ATP5MC1/NDUFAB1/OPA1/NDUFB5/PRPS1/ATP5MK/NDUFV1/MPC2/ATP5F1C/ATP5MJ/PARK7/ATP5PB/HINT1/DLD/SDHB/PPT1/STOML2/ACLY/NDUFA12/NDUFS5/NDUFB6/PDHB/GMPR2/NDUFB10/NDUFA3/NDUFA2/DCTPP1/NDUFB3/ATP5IF1/BPGM/ATP5PF/ERH/IMPDH2/NDUFS4/NDUFB4/RRM2B/NDUFA8/RRM1/NDUFA6/PAPSS1/KARS1/SUCLG1/NDUFS8/FIS1/NANS/DGUOK/ATP5ME/NDUFB11/DNAJC30/PMM1/NDUFS6/NDUFC1/ATP5F1D/PDHX/NDUFA1/NDUFB7/MTHFD1/NDUFB9/PDHA1/ADSS2,73,4
GO:0009259,ribonucleotide metabolic process,60/820,138/3978,5.29292549665748e-10,3.00970273339347e-08,2.86003693503597e-08,ATP5F1B/OLA1/ATP5PD/VCP/RAN/ATP5F1A/NDUFA5/DLAT/ATP5MC3/NDUFS2/NDUFS3/ATP5MC1/NDUFAB1/OPA1/NDUFB5/ATP5MK/NDUFV1/MPC2/ATP5F1C/ATP5MJ/ATP5PB/HINT1/DLD/SDHB/PPT1/STOML2/ACLY/NDUFA12/NDUFS5/NDUFB6/PDHB/GMPR2/NDUFB10/NDUFA3/NDUFA2/NDUFB3/ATP5IF1/ATP5PF/IMPDH2/NDUFS4/NDUFB4/NDUFA8/NDUFA6/PAPSS1/SUCLG1/NDUFS8/FIS1/ATP5ME/NDUFB11/DNAJC30/NDUFS6/NDUFC1/ATP5F1D/PDHX/NDUFA1/NDUFB7/MTHFD1/NDUFB9/PDHA1/ADSS2,60,4
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,27/820,47/3978,2.85524197681828e-08,1.58731712223936e-06,1.50838338512618e-06,COPG1/VCP/RAB1A/ARCN1/HYOU1/NRBP1/PPP6C/KLHL12/TRAPPC1/PEF1/TMED2/BCAP31/TRAPPC2L/ARF4/GOLGA2/CUL3/COPG2/SORL1/SAR1A/TRAPPC9/ERGIC3/VAPA/TRAPPC4/IER3IP1/TMED4/STEEP1/KDELR1,27,4
GO:0044281,small molecule metabolic process,137/820,442/3978,2.90095887857538e-08,1.58731712223936e-06,1.50838338512618e-06,ATP5F1B/PFKM/SARS1/VDAC1/OLA1/MDH2/OAT/PPP2CA/ATP5PD/VCP/RAN/TPI1/ATP5F1A/NDUFA5/DLAT/PGAM1/SLC25A11/NARS1/DDB1/ATP5MC3/NDUFS2/IDH3B/NDUFS3/ATP5MC1/NDUFAB1/OPA1/NDUFB5/PRPS1/FARSB/FH/ATP5MK/LCMT1/NDUFV1/ENOPH1/IDH3G/MPC2/PKM/ATP5F1C/ATP5MJ/PARK7/ATP5PB/SNX17/OSBP/PRKACA/HINT1/LRRC47/DLD/SDHB/PPT1/STOML2/ACLY/ACADSB/NDUFA12/GPX4/NDUFS5/NDUFB6/PDHB/GLO1/IARS1/FARSA/SOD1/GMPR2/COQ10B/NDUFB10/NDUFA3/SEPHS2/AZIN1/NDUFA2/DCTPP1/ABHD10/NDUFB3/AHCY/FDPS/PRKAG1/MRPS36/ATP5IF1/ASS1/MGST3/BPGM/ESD/ATP5PF/ERH/IMPDH2/ECHS1/NDUFS4/GSS/NDUFB4/RRM2B/NDUFA8/RRM1/PLAA/NDUFA6/HAGH/PAPSS1/LDHA/KARS1/GBA1/SUCLG1/NDUFS8/MBTPS2/GSTO1/FIS1/NANS/DGUOK/MECR/COQ3/AKR1A1/ATP5ME/LGMN/NDUFB11/MMADHC/PTS/DNAJC30/EPRS1/FN3K/NLN/VARS1/PMM1/NDUFS6/EIF6/NDUFC1/TKFC/ATP5F1D/DEGS1/PDHX/AKR1B1/PRXL2B/NDUFA1/NDUFB7/COQ7/MTHFD1/NDUFB9/TM7SF2/DHRS7/PDHA1/DALRD3/ADSS2,137,4
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",48/820,112/3978,5.31460279912793e-08,2.80224511226745e-06,2.66289571829989e-06,DDX1/SNU13/BCAS2/DDX41/SLU7/PRPF8/NPM1/SNRPD2/PUF60/ZMAT2/C1QBP/UBL5/LSM4/SF3A3/PSIP1/PRMT5/SAP18/STRAP/BUD31/PQBP1/C9orf78/PRPF4/WBP4/LSM3/SNRNP25/NCL/SMU1/IK/SF3B5/PRPF6/HNRNPK/SRSF8/ALYREF/SNRPE/RSRC1/CDC5L/SF3B2/SNRNP200/PPIH/SNRPB2/XAB2/HTATSF1/SF3A1/SNRPD1/FMR1/CWC15/RBM42/SRSF2,48,4
GO:0000398,"mRNA splicing, via spliceosome",48/820,112/3978,5.31460279912793e-08,2.80224511226745e-06,2.66289571829989e-06,DDX1/SNU13/BCAS2/DDX41/SLU7/PRPF8/NPM1/SNRPD2/PUF60/ZMAT2/C1QBP/UBL5/LSM4/SF3A3/PSIP1/PRMT5/SAP18/STRAP/BUD31/PQBP1/C9orf78/PRPF4/WBP4/LSM3/SNRNP25/NCL/SMU1/IK/SF3B5/PRPF6/HNRNPK/SRSF8/ALYREF/SNRPE/RSRC1/CDC5L/SF3B2/SNRNP200/PPIH/SNRPB2/XAB2/HTATSF1/SF3A1/SNRPD1/FMR1/CWC15/RBM42/SRSF2,48,4
GO:0000375,"RNA splicing, via transesterification reactions",48/820,113/3978,7.44931333014224e-08,3.79844915871545e-06,3.6095607613492e-06,DDX1/SNU13/BCAS2/DDX41/SLU7/PRPF8/NPM1/SNRPD2/PUF60/ZMAT2/C1QBP/UBL5/LSM4/SF3A3/PSIP1/PRMT5/SAP18/STRAP/BUD31/PQBP1/C9orf78/PRPF4/WBP4/LSM3/SNRNP25/NCL/SMU1/IK/SF3B5/PRPF6/HNRNPK/SRSF8/ALYREF/SNRPE/RSRC1/CDC5L/SF3B2/SNRNP200/PPIH/SNRPB2/XAB2/HTATSF1/SF3A1/SNRPD1/FMR1/CWC15/RBM42/SRSF2,48,4
GO:1901135,carbohydrate derivative metabolic process,91/820,267/3978,7.46591731195794e-08,3.79844915871545e-06,3.6095607613492e-06,ATP5F1B/PFKM/OLA1/ATP5PD/VCP/RAN/TPI1/ATP5F1A/NDUFA5/DLAT/PGAM1/RAB1A/ATP5MC3/NDUFS2/NDUFS3/ATP5MC1/NDUFAB1/OPA1/NDUFB5/PRPS1/ATP5MK/NDUFV1/MPC2/B4GAT1/ATP5F1C/ATP5MJ/PARK7/ATP5PB/HINT1/DLD/BPNT2/SDHB/PPT1/STOML2/ACLY/NDUFA12/NDUFS5/NDUFB6/PDHB/DDOST/GMPR2/NDUFB10/NDUFA3/NDUFA2/SCCPDH/TMEM59/DCTPP1/ABHD10/NDUFB3/CHP1/ATP5IF1/RPN1/BPGM/GANAB/ATP5PF/ERH/IMPDH2/NDUFS4/NDUFB4/GOLGA2/RRM2B/NDUFA8/RRM1/NDUFA6/PAPSS1/GBA1/SUCLG1/NDUFS8/FIS1/NANS/DGUOK/AKR1A1/ATP5ME/NDUFB11/PIGK/DNAJC30/FN3K/PMM1/NDUFS6/NDUFC1/TKFC/ATP5F1D/PDHX/TM9SF2/AKR1B1/NDUFA1/NDUFB7/MTHFD1/NDUFB9/PDHA1/ADSS2,91,4
GO:0051603,proteolysis involved in protein catabolic process,92/820,271/3978,7.77965819394588e-08,3.88982909697294e-06,3.69639657926503e-06,PSMB4/PSMC4/UCHL5/PSMA5/ERLEC1/VCP/PJA2/PSMC1/USP5/RLIM/PSMC2/PSMB7/PSMD1/PSMD8/DDB1/PSMC5/MAGEF1/PSMB3/COPS3/SKP1/PSMD4/PSMD7/PSMC6/USP14/ANAPC13/PSMB2/PARK7/PSMC3/PRKACA/PSMD3/CAMLG/CDC27/CHMP4B/STAM/UBB/PSMD14/ELOC/CUL5/CHMP5/PSMB5/PSMD2/GABARAPL2/PSMB6/RNF14/ADRM1/PSMD10/BCAP31/USP33/PPP1R11/CHMP1B/CHMP2A/RAD23A/UBE2D2/DNAJB9/ATP5IF1/TAF9/CHMP2B/PSMA4/CTSF/PSMA7/CUL3/PLAA/PSME3/GBA1/RNF167/YME1L1/KAT5/PSMD13/KLHDC2/RNF5/LGMN/SUMO2/RCHY1/VPS25/CANX/DCAF11/TSG101/VPS28/SEL1L/ELOB/PSME3IP1/RNF25/PSMA3/OS9/PCYOX1L/ANAPC15/RBX1/FMR1/ANAPC11/UBXN1/RNF34/FBXL17,92,4
GO:1901137,carbohydrate derivative biosynthetic process,69/820,189/3978,1.68397090723548e-07,8.27714513725912e-06,7.86554118669487e-06,ATP5F1B/ATP5PD/VCP/TPI1/ATP5F1A/NDUFA5/DLAT/ATP5MC3/NDUFS2/NDUFS3/ATP5MC1/NDUFAB1/NDUFB5/PRPS1/ATP5MK/NDUFV1/MPC2/B4GAT1/ATP5F1C/ATP5MJ/ATP5PB/DLD/SDHB/PPT1/STOML2/ACLY/NDUFA12/NDUFS5/NDUFB6/PDHB/DDOST/NDUFB10/NDUFA3/NDUFA2/SCCPDH/TMEM59/NDUFB3/CHP1/RPN1/ATP5PF/IMPDH2/NDUFS4/NDUFB4/GOLGA2/RRM2B/NDUFA8/RRM1/NDUFA6/PAPSS1/NDUFS8/NANS/DGUOK/AKR1A1/ATP5ME/NDUFB11/PIGK/DNAJC30/PMM1/NDUFS6/NDUFC1/ATP5F1D/PDHX/TM9SF2/NDUFA1/NDUFB7/MTHFD1/NDUFB9/PDHA1/ADSS2,69,4
GO:0008380,RNA splicing,62/820,164/3978,1.74390812499136e-07,8.4288892707916e-06,8.00973942320595e-06,PPP2CA/DDX1/SNU13/BCAS2/DDX41/SLU7/HNRNPH2/HABP4/PRPF8/PPP2R1A/THOC7/NPM1/SNRPD2/PUF60/ZMAT2/C1QBP/UBL5/RTCB/LSM4/SF3A3/PSIP1/PRMT5/SAP18/TAF9/STRAP/BUD31/PQBP1/C9orf78/PRPF4/WBP4/LSM3/SNRNP25/NCL/PRMT1/SMU1/TADA1/IK/SF3B5/PRPF6/WBP11/HNRNPK/SRSF8/POLR2A/ENY2/ALYREF/SUPT6H/SNRPE/RSRC1/CDC5L/SF3B2/SNRNP200/PPIH/SNRPB2/XAB2/HTATSF1/SF3A1/SNRPD1/FMR1/CWC15/RBM42/SRSF2/NONO,62,4
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,63/820,168/3978,1.95114143801479e-07,9.27591831187361e-06,8.81464760090204e-06,PSMB4/PSMC4/UCHL5/PSMA5/ERLEC1/VCP/PJA2/PSMC1/USP5/PSMC2/PSMB7/PSMD1/PSMD8/DDB1/PSMC5/PSMB3/SKP1/PSMD4/PSMD7/PSMC6/USP14/ANAPC13/PSMB2/PARK7/PSMC3/PSMD3/CAMLG/CDC27/PSMD14/CUL5/PSMB5/PSMD2/PSMB6/RNF14/ADRM1/PSMD10/BCAP31/RAD23A/DNAJB9/TAF9/PSMA4/PSMA7/CUL3/PLAA/GBA1/KAT5/PSMD13/KLHDC2/RNF5/SUMO2/RCHY1/CANX/DCAF11/SEL1L/ELOB/PSMA3/OS9/ANAPC15/RBX1/ANAPC11/UBXN1/RNF34/FBXL17,63,4
GO:0019941,modification-dependent protein catabolic process,83/820,243/3978,2.66155026597524e-07,1.24491867279487e-05,1.18301164623484e-05,PSMB4/PSMC4/UCHL5/PSMA5/ERLEC1/VCP/PJA2/PSMC1/USP5/RLIM/PSMC2/PSMB7/PSMD1/PSMD8/DDB1/PSMC5/MAGEF1/PSMB3/COPS3/SKP1/PSMD4/PSMD7/PSMC6/USP14/ANAPC13/PSMB2/PARK7/PSMC3/PSMD3/CAMLG/CDC27/CHMP4B/STAM/UBB/PSMD14/ELOC/CUL5/CHMP5/PSMB5/PSMD2/PSMB6/RNF14/ADRM1/PSMD10/BCAP31/USP33/PPP1R11/CHMP1B/CHMP2A/RAD23A/UBE2D2/DNAJB9/TAF9/CHMP2B/PSMA4/PSMA7/CUL3/PLAA/GBA1/RNF167/KAT5/PSMD13/KLHDC2/RNF5/SUMO2/RCHY1/VPS25/CANX/DCAF11/TSG101/VPS28/SEL1L/ELOB/RNF25/PSMA3/OS9/PCYOX1L/ANAPC15/RBX1/ANAPC11/UBXN1/RNF34/FBXL17,83,4
GO:0010498,proteasomal protein catabolic process,69/820,192/3978,3.39190150071228e-07,1.56135148445486e-05,1.48370896054549e-05,PSMB4/PSMC4/UCHL5/PSMA5/ERLEC1/VCP/PJA2/PSMC1/USP5/PSMC2/PSMB7/PSMD1/PSMD8/DDB1/PSMC5/PSMB3/SKP1/PSMD4/PSMD7/PSMC6/USP14/ANAPC13/PSMB2/PARK7/PSMC3/PRKACA/PSMD3/CAMLG/CDC27/UBB/PSMD14/CUL5/PSMB5/PSMD2/GABARAPL2/PSMB6/RNF14/ADRM1/PSMD10/BCAP31/RAD23A/DNAJB9/TAF9/PSMA4/PSMA7/CUL3/PLAA/PSME3/GBA1/KAT5/PSMD13/KLHDC2/RNF5/SUMO2/RCHY1/CANX/DCAF11/SEL1L/ELOB/PSME3IP1/PSMA3/OS9/ANAPC15/RBX1/FMR1/ANAPC11/UBXN1/RNF34/FBXL17,69,4
GO:0006511,ubiquitin-dependent protein catabolic process,81/820,237/3978,3.6485208946924e-07,1.65323603040749e-05,1.57102429314222e-05,PSMB4/PSMC4/UCHL5/PSMA5/ERLEC1/VCP/PJA2/PSMC1/USP5/RLIM/PSMC2/PSMB7/PSMD1/PSMD8/DDB1/PSMC5/MAGEF1/PSMB3/COPS3/SKP1/PSMD4/PSMD7/PSMC6/USP14/ANAPC13/PSMB2/PARK7/PSMC3/PSMD3/CAMLG/CDC27/CHMP4B/STAM/PSMD14/ELOC/CUL5/CHMP5/PSMB5/PSMD2/PSMB6/RNF14/ADRM1/PSMD10/BCAP31/USP33/PPP1R11/CHMP1B/CHMP2A/RAD23A/UBE2D2/DNAJB9/TAF9/CHMP2B/PSMA4/PSMA7/CUL3/PLAA/GBA1/RNF167/KAT5/PSMD13/KLHDC2/RNF5/SUMO2/RCHY1/VPS25/CANX/DCAF11/TSG101/VPS28/SEL1L/ELOB/RNF25/PSMA3/OS9/ANAPC15/RBX1/ANAPC11/UBXN1/RNF34/FBXL17,81,4
GO:0042254,ribosome biogenesis,41/820,95/3978,4.07265871323656e-07,1.81703234898247e-05,1.72667538643778e-05,RAN/XRCC5/NOLC1/POP7/SNU13/EBNA1BP2/HABP4/TRMT112/RSL24D1/NPM1/C1QBP/GTPBP4/MRPS7/IMP3/EIF5/ABCE1/MRTO4/WDR46/NHP2/PA2G4/TSR2/MRPL20/PWP1/SDAD1/SBDS/WBP11/RPL26L1/RRP36/MAK16/ERI3/PAK1IP1/C1D/EIF2A/EIF6/RSL1D1/UTP11/NMD3/SUV39H1/PIH1D1/PES1/GTF2H5,41,4
