region,gene,degree_AD,strength_AD,degree_ctrl,strength_ctrl,delta_degree,delta_strength,ratio_degree,jaccard_neighbors,rewiring_score,cohort,symbol,subpathway
HCN,ENSG00000166206,498,284.421429,547,284.547896,-49,-0.126466999999934,0.910420475319927,0.615146831530139,0.384853168469861,ROSMAP,GABRB3,gabaa_receptors
PCC,ENSG00000166206,65,33.858848,142,75.570612,-77,-41.711764,0.457746478873239,0.344155844155844,0.655844155844156,ROSMAP,GABRB3,gabaa_receptors
PCC,ENSG00000136928,56,29.016146,9,4.645815,47,24.370331,6.22222222222222,0.101694915254237,0.898305084745763,ROSMAP,GABBR2,gabab_receptors
PCC,ENSG00000011677,115,60.859761,78,41.522184,37,19.337577,1.47435897435897,0.34965034965035,0.65034965034965,ROSMAP,GABRA3,gabaa_receptors
PCC,ENSG00000187730,7,3.497866,40,21.244133,-33,-17.746267,0.175,0.175,0.825,ROSMAP,GABRD,gabaa_receptors
PCC,ENSG00000150995,40,20.405379,13,6.593257,27,13.812122,3.07692307692308,0.127659574468085,0.872340425531915,ROSMAP,SLC6A13,transport
PCC,ENSG00000131089,511,277.578574,527,286.811973,-16,-9.23339899999968,0.969639468690702,0.634645669291339,0.365354330708661,ROSMAP,ARHGEF9,synapse_organizers
PCC,ENSG00000022355,172,93.016872,186,100.805763,-14,-7.78889100000004,0.924731182795699,0.570175438596491,0.429824561403509,ROSMAP,GABRA1,gabaa_receptors
PCC,ENSG00000145864,96,51.480963,110,60.254299,-14,-8.77333600000001,0.872727272727273,0.609375,0.390625,ROSMAP,GABRB2,gabaa_receptors
PCC,ENSG00000163285,1,0.493706,14,7.195628,-13,-6.701922,0.0714285714285714,0.0714285714285714,0.928571428571429,ROSMAP,GABRG1,gabaa_receptors
PCC,ENSG00000187094,97,50.178459,84,43.284352,13,6.89410700000003,1.1547619047619,0.311594202898551,0.688405797101449,ROSMAP,CCK,interneuron_markers
