membership,mod_size,n_gaba,gaba_genes,odds_ratio,p_value,p_adj,is_enriched,region,condition,cohort
8,1804,1,ENSG00000163285,0.0927157950643523,0.999840711780348,1,FALSE,PCC,control,ROSMAP
1,11,0,"",0,1,1,FALSE,PCC,control,ROSMAP
2,138,0,"",0,1,1,FALSE,PCC,control,ROSMAP
4,881,0,"",0,1,1,FALSE,PCC,control,ROSMAP
5,522,0,"",0,1,1,FALSE,PCC,control,ROSMAP
7,109,0,"",0,1,1,FALSE,PCC,control,ROSMAP
10,68,0,"",0,1,1,FALSE,PCC,control,ROSMAP
11,17,0,"",0,1,1,FALSE,PCC,control,ROSMAP
4,747,10,ENSG00000022355;ENSG00000166206;ENSG00000113327;ENSG00000136928;ENSG00000109158;ENSG00000145864;ENSG00000150995;ENSG00000182256;ENSG00000187094;ENSG00000104327,2.7569853649003,0.0199704743192468,0.279586640469455,FALSE,TC,AD,Mayo
2,846,6,ENSG00000128683;ENSG00000136750;ENSG00000179915;ENSG00000187730;ENSG00000021645;ENSG00000101438,1.015709323163,0.569752791546537,1,FALSE,TC,AD,Mayo
3,446,3,ENSG00000131089;ENSG00000186297;ENSG00000011677,0.951851297167697,0.625294718947565,1,FALSE,TC,AD,Mayo
1,14,0,"",0,1,1,FALSE,TC,AD,Mayo
5,42,0,"",0,1,1,FALSE,TC,AD,Mayo
6,272,0,"",0,1,1,FALSE,TC,AD,Mayo
8,11,0,"",0,1,1,FALSE,TC,AD,Mayo
9,15,0,"",0,1,1,FALSE,TC,AD,Mayo
11,25,0,"",0,1,1,FALSE,TC,AD,Mayo
12,164,0,"",0,1,1,FALSE,TC,AD,Mayo
15,22,0,"",0,1,1,FALSE,TC,AD,Mayo
18,10,0,"",0,1,1,FALSE,TC,AD,Mayo
27,23,0,"",0,1,1,FALSE,TC,AD,Mayo
29,10,0,"",0,1,1,FALSE,TC,AD,Mayo
2,338,8,ENSG00000128683;ENSG00000145864;ENSG00000113327;ENSG00000022355;ENSG00000150995;ENSG00000136750;ENSG00000187730;ENSG00000100362,6.63531553745833,0.000165037780337684,0.00115526446236379,TRUE,TC,control,Mayo
6,551,6,ENSG00000109158;ENSG00000166206;ENSG00000179915;ENSG00000104327;ENSG00000186297;ENSG00000172137,2.54860456671842,0.0521159663674137,0.182405882285948,FALSE,TC,control,Mayo
5,989,5,ENSG00000131089;ENSG00000136928;ENSG00000187094;ENSG00000011677;ENSG00000021645,0.997272648758266,0.582788331787262,1,FALSE,TC,control,Mayo
4,420,2,ENSG00000163285;ENSG00000151834,0.934111897621887,0.641463695536262,1,FALSE,TC,control,Mayo
3,797,2,ENSG00000182256;ENSG00000101438,0.448082101875059,0.930126273988888,1,FALSE,TC,control,Mayo
1,338,0,"",0,1,1,FALSE,TC,control,Mayo
7,1008,0,"",0,1,1,FALSE,TC,control,Mayo
2,444,11,ENSG00000128683;ENSG00000150995;ENSG00000104327;ENSG00000136750;ENSG00000100362;ENSG00000101438;ENSG00000186297;ENSG00000113327;ENSG00000136928;ENSG00000157103;ENSG00000011677,19.7800146012066,1.19477999326123e-09,1.91164798921796e-08,TRUE,CRB,AD,Mayo
11,1041,5,ENSG00000187730;ENSG00000022355;ENSG00000179915;ENSG00000145864;ENSG00000131089,2.34580331359496,0.0892891566289516,0.714313253031613,FALSE,CRB,AD,Mayo
1,89,1,ENSG00000157005,5.00667918928582,0.189314369642978,0.87416378345296,FALSE,CRB,AD,Mayo
15,1033,4,ENSG00000151834;ENSG00000163285;ENSG00000132164;ENSG00000163288,1.79148575463499,0.21854094586324,0.87416378345296,FALSE,CRB,AD,Mayo
7,1310,1,ENSG00000171723,0.294383856730385,0.963156425193559,1,FALSE,CRB,AD,Mayo
3,1329,1,ENSG00000166206,0.289521857765379,0.965007314512571,1,FALSE,CRB,AD,Mayo
4,1141,0,"",0,1,1,FALSE,CRB,AD,Mayo
5,127,0,"",0,1,1,FALSE,CRB,AD,Mayo
9,12,0,"",0,1,1,FALSE,CRB,AD,Mayo
10,865,0,"",0,1,1,FALSE,CRB,AD,Mayo
12,997,0,"",0,1,1,FALSE,CRB,AD,Mayo
13,1027,0,"",0,1,1,FALSE,CRB,AD,Mayo
17,28,0,"",0,1,1,FALSE,CRB,AD,Mayo
19,22,0,"",0,1,1,FALSE,CRB,AD,Mayo
22,30,0,"",0,1,1,FALSE,CRB,AD,Mayo
